AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;HORAS_DE_SOL_DIARIAS;INDICE_UV
2011;1;MURCIA;Región de Murcia;Murcia;6,013;1,723
2011;1;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;5,861;
2011;1;MURCIA/SAN JAVIER;Región de Murcia;Murcia;5,319;
2011;1;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;5,187;
2011;2;MURCIA;Región de Murcia;Murcia;8,0;2,796
2011;2;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,925;
2011;2;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,775;
2011;2;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;8,221;
2011;3;MURCIA;Región de Murcia;Murcia;6,029;3,829
2011;3;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;5,661;
2011;3;MURCIA/SAN JAVIER;Región de Murcia;Murcia;5,852;
2011;3;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;5,968;
2011;4;MURCIA;Región de Murcia;Murcia;7,853;5,727
2011;4;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,373;
2011;4;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,883;
2011;4;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,153;
2011;5;MURCIA;Región de Murcia;Murcia;9,11;7,177
2011;5;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,568;
2011;5;MURCIA/SAN JAVIER;Región de Murcia;Murcia;8,752;
2011;5;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,442;
2011;6;MURCIA;Región de Murcia;Murcia;10,933;8,09
2011;6;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;10,273;
2011;6;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,63;
2011;6;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,423;
2011;7;MURCIA;Región de Murcia;Murcia;11,719;8,168
2011;7;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;11,187;
2011;7;MURCIA/SAN JAVIER;Región de Murcia;Murcia;11,035;
2011;7;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,506;
2011;8;MURCIA;Región de Murcia;Murcia;11,539;7,616
2011;8;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;11,448;
2011;8;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,948;
2011;8;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,706;
2011;9;MURCIA;Región de Murcia;Murcia;9,87;5,92
2011;9;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;9,377;
2011;9;MURCIA/SAN JAVIER;Región de Murcia;Murcia;9,107;
2011;9;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;10,557;
2011;10;MURCIA;Región de Murcia;Murcia;8,1;3,939
2011;10;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,635;
2011;10;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,506;
2011;10;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;8,203;
2011;11;MURCIA;Región de Murcia;Murcia;4,603;2,147
2011;11;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;4,62;
2011;11;MURCIA/SAN JAVIER;Región de Murcia;Murcia;4,853;
2011;11;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;5,237;
2011;12;MURCIA;Región de Murcia;Murcia;7,006;1,803
2011;12;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;6,858;
2011;12;MURCIA/SAN JAVIER;Región de Murcia;Murcia;6,445;
2011;12;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;6,813;
2012;1;MURCIA;Región de Murcia;Murcia;7,261;1,955
2012;1;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,152;
2012;1;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,052;
2012;1;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,529;
2012;2;MURCIA;Región de Murcia;Murcia;8,807;2,741
2012;2;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,441;
2012;2;MURCIA/SAN JAVIER;Región de Murcia;Murcia;8,072;
2012;2;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;8,762;
2012;3;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;8,721;
2012;3;MURCIA;Región de Murcia;Murcia;9,165;4,445
2012;3;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,671;
2012;3;MURCIA/SAN JAVIER;Región de Murcia;Murcia;8,371;
2012;3;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,903;
2012;3;YECLA;Región de Murcia;Murcia;8,721;
2012;3;ÁGUILAS;Región de Murcia;Murcia;9,25;
2012;4;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;8,477;
2012;4;MURCIA;Región de Murcia;Murcia;8,6;5,953
2012;4;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,643;
2012;4;MURCIA/SAN JAVIER;Región de Murcia;Murcia;8,27;
2012;4;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,18;
2012;4;YECLA;Región de Murcia;Murcia;8,08;
2012;4;ÁGUILAS;Región de Murcia;Murcia;9,587;
2012;5;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;10,723;
2012;5;MURCIA;Región de Murcia;Murcia;11,11;7,629
2012;5;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;10,971;
2012;5;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,835;
2012;5;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,665;
2012;5;YECLA;Región de Murcia;Murcia;11,023;
2012;5;ÁGUILAS;Región de Murcia;Murcia;11,358;
2012;6;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;11,797;
2012;6;MURCIA;Región de Murcia;Murcia;11,957;8,273
2012;6;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;11,833;
2012;6;MURCIA/SAN JAVIER;Región de Murcia;Murcia;11,177;
2012;6;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;12,063;
2012;6;YECLA;Región de Murcia;Murcia;11,96;
2012;6;ÁGUILAS;Región de Murcia;Murcia;12,079;
2012;7;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;11,861;
2012;7;MURCIA;Región de Murcia;Murcia;11,948;8,207
2012;7;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;11,577;
2012;7;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,867;
2012;7;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;12,239;
2012;7;YECLA;Región de Murcia;Murcia;11,86;
2012;7;ÁGUILAS;Región de Murcia;Murcia;12,393;
2012;8;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;10,194;
2012;8;MURCIA;Región de Murcia;Murcia;10,661;7,3
2012;8;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;10,326;
2012;8;MURCIA/SAN JAVIER;Región de Murcia;Murcia;9,406;
2012;8;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;10,494;
2012;8;YECLA;Región de Murcia;Murcia;10,614;
2012;8;ÁGUILAS;Región de Murcia;Murcia;10,729;
2012;9;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;8,431;
2012;9;MURCIA;Región de Murcia;Murcia;8,053;5,53
2012;9;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,653;
2012;9;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,413;
2012;9;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,42;
2012;9;YECLA;Región de Murcia;Murcia;9,888;
2012;9;ÁGUILAS;Región de Murcia;Murcia;8,93;
2012;10;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;6,119;
2012;10;MURCIA;Región de Murcia;Murcia;7,835;3,971
2012;10;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,552;
2012;10;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,077;
2012;10;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;8,0;
2012;10;YECLA;Región de Murcia;Murcia;7,246;
2012;10;ÁGUILAS;Región de Murcia;Murcia;7,858;
2012;11;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;3,267;
2012;11;MURCIA;Región de Murcia;Murcia;4,727;1,953
2012;11;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;4,583;
2012;11;MURCIA/SAN JAVIER;Región de Murcia;Murcia;4,54;
2012;11;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;4,997;
2012;11;YECLA;Región de Murcia;Murcia;4,023;
2012;11;ÁGUILAS;Región de Murcia;Murcia;4,84;
2012;12;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;4,581;
2012;12;MURCIA;Región de Murcia;Murcia;6,503;1,652
2012;12;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;6,477;
2012;12;MURCIA/SAN JAVIER;Región de Murcia;Murcia;5,894;
2012;12;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;6,439;
2012;12;YECLA;Región de Murcia;Murcia;6,858;
2012;12;ÁGUILAS;Región de Murcia;Murcia;5,629;
2013;1;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;5,287;
2013;1;MURCIA;Región de Murcia;Murcia;7,568;1,929
2013;1;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,5;
2013;1;MURCIA/SAN JAVIER;Región de Murcia;Murcia;6,777;
2013;1;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,355;
2013;1;YECLA;Región de Murcia;Murcia;7,006;
2013;1;ÁGUILAS;Región de Murcia;Murcia;7,126;
2013;2;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;6,118;
2013;2;MURCIA;Región de Murcia;Murcia;7,996;2,921
2013;2;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,036;
2013;2;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,764;
2013;2;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;8,186;
2013;2;YECLA;Región de Murcia;Murcia;7,282;
2013;2;ÁGUILAS;Región de Murcia;Murcia;7,854;
2013;3;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;5,932;
2013;3;MURCIA;Región de Murcia;Murcia;6,597;4,281
2013;3;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;6,177;
2013;3;MURCIA/SAN JAVIER;Región de Murcia;Murcia;5,816;
2013;3;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,239;
2013;3;YECLA;Región de Murcia;Murcia;6,667;
2013;3;ÁGUILAS;Región de Murcia;Murcia;7,242;
2013;4;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;7,617;
2013;4;MURCIA;Región de Murcia;Murcia;8,68;5,673
2013;4;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,223;
2013;4;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,97;
2013;4;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;8,87;
2013;4;YECLA;Región de Murcia;Murcia;7,763;
2013;4;ÁGUILAS;Región de Murcia;Murcia;8,353;
2013;5;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;8,503;
2013;5;MURCIA;Región de Murcia;Murcia;10,413;7,242
2013;5;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;9,6;
2013;5;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,139;
2013;5;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,943;
2013;5;YECLA;Región de Murcia;Murcia;8,968;
2013;5;ÁGUILAS;Región de Murcia;Murcia;9,876;
2013;6;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;11,267;
2013;6;MURCIA;Región de Murcia;Murcia;12,247;8,1
2013;6;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;12,137;
2013;6;MURCIA/SAN JAVIER;Región de Murcia;Murcia;12,153;
2013;6;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;12,603;
2013;6;YECLA;Región de Murcia;Murcia;11,537;
2013;6;ÁGUILAS;Región de Murcia;Murcia;12,472;
2013;7;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;11,782;
2013;7;MURCIA;Región de Murcia;Murcia;12,61;8,235
2013;7;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;12,294;
2013;7;MURCIA/SAN JAVIER;Región de Murcia;Murcia;11,939;
2013;7;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;12,477;
2013;7;YECLA;Región de Murcia;Murcia;12,332;
2013;7;ÁGUILAS;Región de Murcia;Murcia;12,303;
2013;8;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;9,646;
2013;8;MURCIA;Región de Murcia;Murcia;10,4;7,316
2013;8;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;9,958;
2013;8;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,261;
2013;8;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,13;
2013;8;YECLA;Región de Murcia;Murcia;9,777;
2013;8;ÁGUILAS;Región de Murcia;Murcia;11,046;
2013;9;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;7,963;
2013;9;MURCIA;Región de Murcia;Murcia;8,38;5,493
2013;9;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,2;
2013;9;MURCIA/SAN JAVIER;Región de Murcia;Murcia;8,476;
2013;9;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,58;
2013;9;YECLA;Región de Murcia;Murcia;8,43;
2013;9;ÁGUILAS;Región de Murcia;Murcia;9,61;
2013;10;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;6,281;
2013;10;MURCIA;Región de Murcia;Murcia;8,248;4,019
2013;10;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,006;
2013;10;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,997;
2013;10;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;8,858;
2013;10;YECLA;Región de Murcia;Murcia;8,139;
2013;10;ÁGUILAS;Región de Murcia;Murcia;8,997;
2013;11;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;5,11;
2013;11;MURCIA;Región de Murcia;Murcia;7,443;2,34
2013;11;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,497;
2013;11;MURCIA/SAN JAVIER;Región de Murcia;Murcia;6,7;
2013;11;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,16;
2013;11;YECLA;Región de Murcia;Murcia;7,387;
2013;11;ÁGUILAS;Región de Murcia;Murcia;7,303;
2013;12;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;3,461;
2013;12;MURCIA;Región de Murcia;Murcia;5,348;1,49
2013;12;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;5,419;
2013;12;MURCIA/SAN JAVIER;Región de Murcia;Murcia;5,474;
2013;12;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;5,784;
2013;12;YECLA;Región de Murcia;Murcia;5,535;
2013;12;ÁGUILAS;Región de Murcia;Murcia;5,2;
2014;1;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;3,919;
2014;1;MURCIA;Región de Murcia;Murcia;5,952;1,665
2014;1;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;5,923;
2014;1;MURCIA/SAN JAVIER;Región de Murcia;Murcia;5,6;
2014;1;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;5,855;
2014;1;YECLA;Región de Murcia;Murcia;5,394;
2014;1;ÁGUILAS;Región de Murcia;Murcia;6,11;
2014;2;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;4,739;
2014;2;MURCIA;Región de Murcia;Murcia;6,918;2,625
2014;2;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;6,793;
2014;2;MURCIA/SAN JAVIER;Región de Murcia;Murcia;6,439;
2014;2;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,193;
2014;2;YECLA;Región de Murcia;Murcia;6,293;
2014;2;ÁGUILAS;Región de Murcia;Murcia;6,932;
2014;3;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;6,997;
2014;3;MURCIA;Región de Murcia;Murcia;8,016;4,348
2014;3;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,948;
2014;3;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,865;
2014;3;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,223;
2014;3;YECLA;Región de Murcia;Murcia;8,306;
2014;3;ÁGUILAS;Región de Murcia;Murcia;9,467;
2014;4;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;9,28;
2014;4;MURCIA;Región de Murcia;Murcia;9,773;6,34
2014;4;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;10,0;
2014;4;MURCIA/SAN JAVIER;Región de Murcia;Murcia;9,45;
2014;4;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;10,34;
2014;4;YECLA;Región de Murcia;Murcia;9,493;
2014;4;ÁGUILAS;Región de Murcia;Murcia;9,986;
2014;5;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;9,732;
2014;5;MURCIA;Región de Murcia;Murcia;10,119;7,468
2014;5;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;10,026;
2014;5;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,6;
2014;5;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;10,913;
2014;5;YECLA;Región de Murcia;Murcia;9,884;
2014;5;ÁGUILAS;Región de Murcia;Murcia;11,391;
2014;6;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;9,71;
2014;6;MURCIA;Región de Murcia;Murcia;10,923;7,747
2014;6;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;10,917;
2014;6;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,873;
2014;6;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,21;
2014;6;YECLA;Región de Murcia;Murcia;10,063;
2014;6;ÁGUILAS;Región de Murcia;Murcia;11,09;
2014;7;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;11,437;
2014;7;MURCIA;Región de Murcia;Murcia;11,971;8,103
2014;7;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;11,952;
2014;7;MURCIA/SAN JAVIER;Región de Murcia;Murcia;12,068;
2014;7;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;12,507;
2014;7;YECLA;Región de Murcia;Murcia;11,762;
2014;7;ÁGUILAS;Región de Murcia;Murcia;12,408;
2014;8;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;10,557;
2014;8;MURCIA;Región de Murcia;Murcia;11,068;7,445
2014;8;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;11,003;
2014;8;MURCIA/SAN JAVIER;Región de Murcia;Murcia;11,316;
2014;8;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,529;
2014;8;YECLA;Región de Murcia;Murcia;11,019;
2014;8;ÁGUILAS;Región de Murcia;Murcia;11,939;
2014;9;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;7,537;
2014;9;MURCIA;Región de Murcia;Murcia;7,74;5,687
2014;9;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,47;
2014;9;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,95;
2014;9;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,197;
2014;9;YECLA;Región de Murcia;Murcia;8,197;
2014;9;ÁGUILAS;Región de Murcia;Murcia;8,752;
2014;10;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;6,455;
2014;10;MURCIA;Región de Murcia;Murcia;8,197;3,858
2014;10;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;8,229;
2014;10;MURCIA/SAN JAVIER;Región de Murcia;Murcia;8,445;
2014;10;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;9,064;
2014;10;YECLA;Región de Murcia;Murcia;8,423;
2014;10;ÁGUILAS;Región de Murcia;Murcia;9,203;
2014;11;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;3,721;
2014;11;MURCIA;Región de Murcia;Murcia;5,463;2,238
2014;11;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;5,4;
2014;11;MURCIA/SAN JAVIER;Región de Murcia;Murcia;5,447;
2014;11;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;5,793;
2014;11;YECLA;Región de Murcia;Murcia;5,177;
2014;11;ÁGUILAS;Región de Murcia;Murcia;6,071;
2014;12;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;4,396;
2014;12;MURCIA;Región de Murcia;Murcia;7,416;1,511
2014;12;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,19;
2014;12;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,045;
2014;12;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,294;
2014;12;YECLA;Región de Murcia;Murcia;6,861;
2014;12;ÁGUILAS;Región de Murcia;Murcia;6,739;
2015;1;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;4,894;
2015;1;MURCIA;Región de Murcia;Murcia;7,681;1,684
2015;1;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,719;
2015;1;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,565;
2015;1;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,823;
2015;1;YECLA;Región de Murcia;Murcia;7,84;
2015;1;ÁGUILAS;Región de Murcia;Murcia;7,306;
2015;2;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;4,085;
2015;2;MURCIA;Región de Murcia;Murcia;6,471;2,532
2015;2;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;6,468;
2015;2;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,111;
2015;2;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,27;
2015;2;YECLA;Región de Murcia;Murcia;5,471;
2015;2;ÁGUILAS;Región de Murcia;Murcia;6,858;
2015;3;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;7,164;
2015;3;MURCIA;Región de Murcia;Murcia;7,626;4,152
2015;3;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,284;
2015;3;MURCIA/SAN JAVIER;Región de Murcia;Murcia;6,85;
2015;3;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;7,832;
2015;3;YECLA;Región de Murcia;Murcia;7,681;
2015;3;ÁGUILAS;Región de Murcia;Murcia;8,139;
2015;4;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;7,393;
2015;4;MURCIA;Región de Murcia;Murcia;7,64;5,7
2015;4;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;7,59;
2015;4;MURCIA/SAN JAVIER;Región de Murcia;Murcia;7,45;
2015;4;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;8,527;
2015;4;YECLA;Región de Murcia;Murcia;7,967;
2015;4;ÁGUILAS;Región de Murcia;Murcia;8,139;
2015;5;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;9,536;
2015;5;MURCIA;Región de Murcia;Murcia;10,616;7,358
2015;5;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;10,332;
2015;5;MURCIA/SAN JAVIER;Región de Murcia;Murcia;10,026;
2015;5;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,168;
2015;5;YECLA;Región de Murcia;Murcia;10,783;
2015;5;ÁGUILAS;Región de Murcia;Murcia;10,635;
2015;6;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;11,111;
2015;6;MURCIA;Región de Murcia;Murcia;12,62;8,557
2015;6;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;12,237;
2015;6;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;12,877;
2015;6;YECLA;Región de Murcia;Murcia;11,158;
2015;6;ÁGUILAS;Región de Murcia;Murcia;12,317;
2015;7;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;11,029;
2015;7;MURCIA;Región de Murcia;Murcia;12,052;8,919
2015;7;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;11,713;
2015;7;MURCIA/SAN JAVIER;Región de Murcia;Murcia;11,719;
2015;7;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;11,971;
2015;7;YECLA;Región de Murcia;Murcia;11,206;
2015;7;ÁGUILAS;Región de Murcia;Murcia;12,048;
2015;8;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;8,958;
2015;8;MURCIA;Región de Murcia;Murcia;10,41;7,913
